,Name,Date,Developer,Publisher,Genre,Price,Langs,DLC,Mature,Single,Total Review Cnt,Pos Review Cnt,Neg Review Cnt,Score
20,A Hat in Time,"5 Oct, 2017",Gears for Breakfast,Gears for Breakfast,"['Adventure', 'Indie']",110.95,"['English', 'German', 'Korean', 'French', 'Simplified Chinese', 'Traditional Chinese', 'Italian', 'Japanese', 'Portuguese', 'Portuguese - Brazil', 'Spanish - Latin America']",1.0,0.0,1.0,42755.0,41927.0,828.0,0.9612363636213832
21,OMORI,"25 Dec, 2020","OMOCAT, LLC","OMOCAT, LLC","['Adventure', 'Indie', 'RPG']",73.95,"['English', 'Japanese']",1.0,1.0,1.0,36249.0,35667.0,582.0,0.9634182589685045
22,The Henry Stickmin Collection,"7 Aug, 2020",PuffballsUnited,Innersloth,"['Adventure', 'Casual', 'Indie']",55.95,['English'],0.0,0.0,1.0,28893.0,28522.0,371.0,0.9650370157012687
23,OneShot,Dec 2016,Future Cat LLC,Degica,"['Adventure', 'Casual', 'Indie']",36.95,"['English', 'Japanese', 'French', 'Spanish - Spain', 'Portuguese - Brazil', 'Korean', 'Simplified Chinese']",1.0,0.0,1.0,27279.0,26787.0,492.0,0.9596955682895456
24,Firework,"3 Feb, 2021",Shiying Studio,Gamera Game,['Indie'],36.95,"['English', 'Simplified Chinese']",1.0,0.0,1.0,24511.0,24043.0,468.0,0.9579595267588148
25,There Is No Game: Wrong Dimension,"6 Aug, 2020",Draw Me A Pixel,Draw Me A Pixel,"['Adventure', 'Casual', 'Indie']",47.95,"['English', 'French', 'Spanish - Spain', 'Portuguese - Brazil', 'German', 'Simplified Chinese', 'Italian', 'Russian', 'Korean', 'Japanese']",1.0,0.0,1.0,15743.0,15453.0,290.0,0.9553242302017086
26,Rhythm Doctor,"26 Feb, 2021",7th Beat Games,7th Beat Games,"['Indie', 'Early Access']",58.95,"['English', 'Simplified Chinese', 'Traditional Chinese', 'Korean', 'Spanish - Latin America', 'Portuguese - Brazil', 'Japanese']",0.0,0.0,1.0,14789.0,14572.0,217.0,0.9583651316782126
27,Baba Is You,"13 Mar, 2019",Hempuli Oy,Hempuli Oy,['Indie'],55.95,"['English', 'Spanish - Spain', 'Korean', 'Norwegian', 'Polish', 'Thai', 'French', 'Italian', 'Dutch', 'Japanese', 'Portuguese', 'Portuguese - Brazil', 'Turkish', 'Vietnamese', 'German', 'Czech']",1.0,0.0,1.0,15475.0,15196.0,279.0,0.9555585193828712
28,DUSK,"10 Dec, 2018",David Szymanski,New Blood Interactive,"['Action', 'Indie']",73.95,"['English', 'Simplified Chinese', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese', 'Portuguese - Brazil', 'Russian', 'Spanish - Latin America', 'Traditional Chinese', 'Turkish', 'Ukrainian']",1.0,0.0,1.0,15020.0,14711.0,309.0,0.9529173376161767
29,One Finger Death Punch,"3 Mar, 2014",Silver Dollar Games,Silver Dollar Games,"['Action', 'Casual', 'Indie']",18.5,['English'],0.0,0.0,1.0,15871.0,15568.0,303.0,0.9547540771637891
30,Finding Paradise,"14 Dec, 2017",Freebird Games,Freebird Games,"['Adventure', 'Indie', 'RPG']",36.95,"['English', 'Simplified Chinese', 'Polish', 'Ukrainian', 'Spanish - Spain', 'Korean', 'Italian', 'Portuguese - Brazil', 'Czech', 'Russian', 'German', 'Turkish', 'Hungarian', 'French', 'Spanish - Latin America']",1.0,0.0,1.0,13362.0,13088.0,274.0,0.952030175458285
31,Grimm's Hollow,"30 Oct, 2019",ghosthunter,ghosthunter,"['Adventure', 'Free to Play', 'Indie', 'RPG']",,"['English', 'Russian', 'Portuguese - Brazil', 'Spanish - Latin America', 'Japanese', 'Simplified Chinese', 'Spanish - Spain']",1.0,0.0,1.0,9593.0,9449.0,144.0,0.9542966735206293
32,The Room 4: Old Sins,"11 Feb, 2021",Fireproof Games,Fireproof Games,['Adventure'],32.95,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Portuguese - Brazil', 'Russian', 'Turkish']",0.0,1.0,1.0,8968.0,8859.0,109.0,0.9563400599743928
33,Tiny Bunny,"16 Apr, 2021",Saikono,Saikono,"['Adventure', 'Indie', 'Early Access']",47.95,"['English', 'Russian', 'Simplified Chinese']",1.0,1.0,1.0,7816.0,7724.0,92.0,0.9553666697566389
34,ATRI -My Dear Moments-,"18 Jun, 2020",Frontwing,ANIPLEX.EXE,"['Adventure', 'Casual']",77.65,"['English', 'Simplified Chinese', 'Traditional Chinese', 'Japanese']",1.0,0.0,1.0,7344.0,7252.0,92.0,0.9540401121255874
35,Before Your Eyes,"8 Apr, 2021",GoodbyeWorld Games,Skybound Games,"['Adventure', 'Indie']",36.95,"['English', 'French', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Simplified Chinese', 'Traditional Chinese']",1.0,0.0,1.0,7309.0,7173.0,136.0,0.9483296279016162
36,Webbed,"9 Sep, 2021",Sbug Games,Sbug Games,"['Action', 'Adventure', 'Indie']",36.95,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese']",1.0,0.0,1.0,7001.0,6866.0,135.0,0.9472696435616155
37,Our Life: Beginnings & Always,"16 Nov, 2020",GB Patch Games,GB Patch Games,"['Casual', 'Free to Play', 'Indie']",,['English'],1.0,0.0,1.0,6377.0,6308.0,69.0,0.9541737102587158
38,Kind Words (lo fi chill beats to write to),"12 Sep, 2019",Popcannibal,Popcannibal,"['Casual', 'Indie']",18.5,['English'],1.0,0.0,1.0,7199.0,7080.0,119.0,0.9501121817304081
39,Post Void,"6 Aug, 2020",YCJY Games,YCJY Games,"['Action', 'Indie']",10.95,['English'],0.0,1.0,1.0,5982.0,5866.0,116.0,0.9455473928017728
40,Touhou Mystia's Izakaya,"1 Oct, 2021",二色幽紫蝶,二色幽紫蝶,"['Casual', 'Indie', 'RPG', 'Simulation']",18.7,"['English', 'Simplified Chinese']",1.0,0.0,1.0,6366.0,6282.0,84.0,0.9519505941643204
41,CLANNAD,"28 Apr, 2004",VisualArts/Key,Sekai Project,"['Adventure', 'Casual']",169.95,"['English', 'Japanese', 'Simplified Chinese']",1.0,0.0,1.0,5803.0,5717.0,86.0,0.9494603534135224
42,Tales of the Black Forest,"25 Sep, 2019",拾英工作室,SakuraGame,"['Adventure', 'Indie', 'RPG']",14.5,"['English', 'Simplified Chinese', 'Traditional Chinese', 'Japanese']",0.0,0.0,1.0,5562.0,5471.0,91.0,0.947575225327977
43,Touhou Tenkuushou ~ Hidden Star in Four Seasons.,"11 Aug, 2017",上海アリス幻樂団,"Mediascape Co., Ltd.","['Action', 'Indie']",55.95,"['English', 'Japanese']",0.0,0.0,1.0,4450.0,4388.0,62.0,0.9473058479386894
44,Epic Battle Fantasy 5,"30 Nov, 2018",Matt Roszak,Matt Roszak,"['Adventure', 'RPG', 'Strategy']",73.95,"['English', 'French', 'German', 'Portuguese - Brazil', 'Japanese', 'Korean', 'Polish', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Traditional Chinese', 'Vietnamese', 'Spanish - Spain']",1.0,0.0,1.0,4029.0,3982.0,47.0,0.9482098084711388
45,Marco & The Galaxy Dragon,"28 Feb, 2020",TOKYOTOON,HOBIBOX,"['Adventure', 'Casual', 'Simulation']",73.95,"['English', 'Japanese', 'Simplified Chinese', 'Traditional Chinese', 'French']",0.0,1.0,1.0,3961.0,3881.0,80.0,0.9401768410963818
46,The Test: Final Revelation,"12 Oct, 2020",Randumb Studios,Randumb Studios,"['RPG', 'Simulation']",7.25,['English'],0.0,1.0,1.0,3646.0,3591.0,55.0,0.9438552453384823
